car_title,car_link,car_price,currency,years
Hyundai i40,https://www.otomoto.pl/oferta/hyundai-i40-premium-navi-kamera-led-bezwyp-pedantycznie-zadbany-ID6BwmKF.html#a1e7463c76,36 999,PLN,2012
Lexus NX,https://www.otomoto.pl/oferta/lexus-nx-300h-elegance-awd-salon-pl-serwis-aso-f-vat23-ID6BuHAK.html#a1e7463c76,126 900,PLN,2014
Hyundai I30 II,https://www.otomoto.pl/oferta/hyundai-i30-hyundai-i30-1-6crdi-navi-ledy-kamera-bezwypadkowy-ID6BuHBh.html#a1e7463c76,38 900,PLN,2015
Kia Optima,https://www.otomoto.pl/oferta/kia-optima-kia-optima-wersja-xl-ID6BuHDs.html#a1e7463c76,45 000,PLN,2015
Audi A3 8P,https://www.otomoto.pl/oferta/audi-a3-audi-a3-1-6-102km-ambition-s-line-okazja-ID6zQeAU.html#a1e7463c76,15 900,PLN,2004
Hyundai I30 I,https://www.otomoto.pl/oferta/hyundai-i30-ii-wlasciciel-auto-bezwypadkowe-kupione-w-polskim-salonie-ID6BuHDY.html#a1e7463c76,16 200,PLN,2007
Peugeot 107,https://www.otomoto.pl/oferta/peugeot-107-ID6BwmKt.html#a1e7463c76,9 999,PLN,2011
Jeep Grand Cherokee IV,https://www.otomoto.pl/oferta/jeep-grand-cherokee-jeep-gc-stan-idealny-3-6-v6-ID6Bukm9.html#a1e7463c76,69 000,PLN,2012
Opel Zafira C,https://www.otomoto.pl/oferta/opel-zafira-c-2-0-cdti-sprowadzona-bezwypadkowa-136tys-km-serwisowana-bdb-stan-ID6BwmKs.html#a1e7463c76,31 800,PLN,2013
Volvo XC 60 I,https://www.otomoto.pl/oferta/volvo-xc-60-2-0-d4-fvat-gwar-rok-ID6Bu6S1.html#a1e7463c76,68 211,PLN,2015
Volkswagen Touran II,https://www.otomoto.pl/oferta/volkswagen-touran-dsg-f-vat-navi-gwar-rok-ID6Bu6RM.html#a1e7463c76,45 447,PLN,2015
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-1-6-tdi-105-km-comfortline-salon-pl-1-wlasc-serwis-aso-vat-23-leasing-ID6BuklV.html#a1e7463c76,41 900,PLN,2014
Audi A6 C6,https://www.otomoto.pl/oferta/audi-a6-salon-polska-lift-xenon-nawigacja-ID6BqFHd.html#a1e7463c76,39 999,PLN,2009
Volkswagen Passat B7,https://www.otomoto.pl/oferta/volkswagen-passat-start-stop-salon-polska-alltrack-4x4-navi-ID6yUmFN.html#a1e7463c76,55 203,PLN,2012
BMW Seria 3 F30,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-f30-polski-salon-bezwypadkowy-serws-zamiana-ID6zO4tq.html#a1e7463c76,60 500,PLN,2012
Citroën C1 II,https://www.otomoto.pl/oferta/citroen-c1-okazja-zadbany-stan-bardzo-dobry-ID6BwmJE.html#a1e7463c76,26 700,PLN,2016
Audi A6 C6,https://www.otomoto.pl/oferta/audi-a6-piekna-serwisowana-audi-a6-lift-led-2-0-common-rail-170ps-ID6BwmKd.html#a1e7463c76,45 900,PLN,2009
Ford Kuga I,https://www.otomoto.pl/oferta/ford-kuga-ID6BwmK1.html#a1e7463c76,40 500,PLN,2009
Dodge Nitro,https://www.otomoto.pl/oferta/dodge-nitro-4x4-oryginal-3-7-benzyna-zamiana-ID6BcQJ4.html#a1e7463c76,29 900,PLN,2007
Land Rover Range Rover Evoque,https://www.otomoto.pl/oferta/land-rover-range-rover-evoque-2-0-d-td4-180km-se-dynamic-special-edition-juz-za-1-wartosci-netto-ID6ACBw5.html#a1e7463c76,217 840,PLN,2018
Volkswagen Tiguan I,https://www.otomoto.pl/oferta/volkswagen-tiguan-4x4-ID6BrYvw.html#a1e7463c76,36 999,PLN,2008
Renault Captur,https://www.otomoto.pl/oferta/renault-captur-renault-captur-ID6Bte0F.html#a1e7463c76,39 000,PLN,2016
Opel Vectra C,https://www.otomoto.pl/oferta/opel-vectra-bezwypadkowy-serwisowany-i-wlasciciel-ID6Axm6Y.html#a1e7463c76,13 400,PLN,2005
Porsche Cayenne II,https://www.otomoto.pl/oferta/porsche-cayenne-porsche-cayenne-gts-4-8-ID6Bu6R8.html#a1e7463c76,200 000,PLN,2013
Subaru OUTBACK III,https://www.otomoto.pl/oferta/subaru-outback-mega-full-panorama-skora-navi-automat-ID6Br96Q.html#a1e7463c76,23 900,PLN,2006
Ford Kuga I,https://www.otomoto.pl/oferta/ford-kuga-suv-kamera-cofania-czujniki-parkowania-ksiazka-serwis-swiatla-led-ID6BsLnL.html#a1e7463c76,36 500,PLN,2008
car_title,car_link,car_price,currency,years
Citroën C1 II,https://www.otomoto.pl/oferta/citroen-c1-okazja-zadbany-stan-bardzo-dobry-ID6BwmJE.html#e5be029ab4,26 700,PLN,2016
Audi A6 C6,https://www.otomoto.pl/oferta/audi-a6-piekna-serwisowana-audi-a6-lift-led-2-0-common-rail-170ps-ID6BwmKd.html#e5be029ab4,45 900,PLN,2009
Ford Kuga I,https://www.otomoto.pl/oferta/ford-kuga-ID6BwmK1.html#e5be029ab4,40 500,PLN,2009
Dodge Nitro,https://www.otomoto.pl/oferta/dodge-nitro-4x4-oryginal-3-7-benzyna-zamiana-ID6BcQJ4.html#e5be029ab4,29 900,PLN,2007
Land Rover Range Rover Evoque,https://www.otomoto.pl/oferta/land-rover-range-rover-evoque-2-0-d-td4-180km-se-dynamic-special-edition-juz-za-1-wartosci-netto-ID6ACBw5.html#e5be029ab4,217 840,PLN,2018
Volkswagen Tiguan I,https://www.otomoto.pl/oferta/volkswagen-tiguan-4x4-ID6BrYvw.html#e5be029ab4,36 999,PLN,2008
Renault Captur,https://www.otomoto.pl/oferta/renault-captur-renault-captur-ID6Bte0F.html#e5be029ab4,39 000,PLN,2016
Opel Vectra C,https://www.otomoto.pl/oferta/opel-vectra-bezwypadkowy-serwisowany-i-wlasciciel-ID6Axm6Y.html#e5be029ab4,13 400,PLN,2005
Porsche Cayenne II,https://www.otomoto.pl/oferta/porsche-cayenne-porsche-cayenne-gts-4-8-ID6Bu6R8.html#e5be029ab4,200 000,PLN,2013
Subaru OUTBACK III,https://www.otomoto.pl/oferta/subaru-outback-mega-full-panorama-skora-navi-automat-ID6Br96Q.html#e5be029ab4,23 900,PLN,2006
Ford Kuga I,https://www.otomoto.pl/oferta/ford-kuga-suv-kamera-cofania-czujniki-parkowania-ksiazka-serwis-swiatla-led-ID6BsLnL.html#e5be029ab4,36 500,PLN,2008
Audi A4 B8,https://www.otomoto.pl/oferta/audi-a4-2-0-tdi-quattro-fv23-bezwypadek-pelen-serwis-ID6AFQb6.html#e5be029ab4,62 900,PLN,2014
Opel Combo C,https://www.otomoto.pl/oferta/opel-combo-mega-doinwestowany-nowa-dwumasa-rozrzad-opony-ID6zBf0h.html#e5be029ab4,7 200,PLN,2005
Volkswagen Arteon,https://www.otomoto.pl/oferta/volkswagen-arteon-elegance-2-0-tdi-190-km-dsg-od-reki-wyprzedaz-rocznika-w-aso-ID6zdr6j.html#e5be029ab4,164 900,PLN,2017
Nissan Qashqai II,https://www.otomoto.pl/oferta/nissan-qashqai-fl-1-6-dci-n-connecta-led-zimowy-kamera-mega-okazja-ID6BuFIp.html#e5be029ab4,106 499,PLN,2018
Škoda Karoq,https://www.otomoto.pl/oferta/skoda-karoq-2-0-tdi-150km-4x4-style-pakiet-comfort-varioflex-opcje-mega-okazja-ID6BuFim.html#e5be029ab4,127 000,PLN,2018
Volkswagen Passat B8,https://www.otomoto.pl/oferta/volkswagen-passat-2-0tdi-r-line-virtual-cockpit-bi-xenon-alcantara-skora-navi-kame-arkos-ID6BuHwk.html#e5be029ab4,67 900,PLN,2016
Mercedes-Benz Klasa S W140,https://www.otomoto.pl/oferta/mercedes-benz-klasa-s-s-350-td-ID6BwmJe.html#e5be029ab4,27 000,PLN,1994
Toyota Yaris I,https://www.otomoto.pl/oferta/toyota-yaris-klimatyzacja-5-drzwi-udokumentowany-przebieg-ID6BuHu4.html#e5be029ab4,5 490,PLN,2002
Mercedes-Benz GLK GLK,https://www.otomoto.pl/oferta/mercedes-benz-glk-220cdi-4matic-automat-1-wlas-bezwyp-sal-pl-xenon-navi-garaz-serw-waso-ID6BbteP.html#e5be029ab4,93 900,PLN,2013
Škoda Felicia,https://www.otomoto.pl/oferta/skoda-felicia-1-3-lx-ID6BukAJ.html#e5be029ab4,1 700,PLN,1998
Renault Scenic III,https://www.otomoto.pl/oferta/renault-scenic-1-5dci-110km-ledy-mp3-alu-18-black-white-oplaty-ID6yZH8b.html#e5be029ab4,27 900,PLN,2014
Opel Astra J,https://www.otomoto.pl/oferta/opel-astra-polski-salon-pelen-serwis-ID6BsLhd.html#e5be029ab4,29 900,PLN,2014
Land Rover Range Rover Velar,https://www.otomoto.pl/oferta/land-rover-range-rover-velar-2-0-si4-250-km-hse-my19-awd-wifi-pakiet-black-adaptive-dynamics-ID6zQ0i8.html#e5be029ab4,288 900,PLN,2018
Peugeot 207,https://www.otomoto.pl/oferta/peugeot-207-207sw-1-6hdi-110km-panorama-pdc-alusy-chromy-na-pl-1-ID6Aqjqn.html#e5be029ab4,14 900,PLN,2009
Audi A3 8P,https://www.otomoto.pl/oferta/audi-a3-oryginal-serwis-pelna-dokumentacja-sportback-unikat-ID6BwmJg.html#e5be029ab4,24 900,PLN,2007
Mercedes-Benz GLA,https://www.otomoto.pl/oferta/mercedes-benz-gla-wlasciciel-gla-200-off-road-nawigacja-faktura-vat23-ID6BwmIT.html#e5be029ab4,124 500,PLN,2018
Opel Insignia A,https://www.otomoto.pl/oferta/opel-insignia-1-8-benzyna-140-koni-bezwypadek-serwis-aso-idealny-do-gazu-ID6Bup4h.html#e5be029ab4,32 900,PLN,2010
Nissan Navara,https://www.otomoto.pl/oferta/nissan-navara-ID6BwmIq.html#e5be029ab4,35 600,PLN,2008
Honda Civic VII,https://www.otomoto.pl/oferta/honda-civic-honda-civic-vii-ID6BwmIl.html#e5be029ab4,8 000,PLN,2001
Mazda CX-9,https://www.otomoto.pl/oferta/mazda-cx-9-mazda-cx-9-salon-polska-gwarancja-okazja-ID6BuHnY.html#e5be029ab4,93 000,PLN,2015
Volkswagen Caddy III,https://www.otomoto.pl/oferta/volkswagen-caddy-volkswagen-caddy-1-9-tdi-bez-dpf-od-wlasciciela-klima-ID6BwmIi.html#e5be029ab4,15 600,PLN,2006
car_title,car_link,car_price,currency,years
Mercedes-Benz GLK GLK,https://www.otomoto.pl/oferta/mercedes-benz-glk-220cdi-4matic-automat-1-wlas-bezwyp-sal-pl-xenon-navi-garaz-serw-waso-ID6BbteP.html#e3a67ddec1,93 900,PLN,2013
Škoda Felicia,https://www.otomoto.pl/oferta/skoda-felicia-1-3-lx-ID6BukAJ.html#e3a67ddec1,1 700,PLN,1998
Renault Scenic III,https://www.otomoto.pl/oferta/renault-scenic-1-5dci-110km-ledy-mp3-alu-18-black-white-oplaty-ID6yZH8b.html#e3a67ddec1,27 900,PLN,2014
Opel Astra J,https://www.otomoto.pl/oferta/opel-astra-polski-salon-pelen-serwis-ID6BsLhd.html#e3a67ddec1,29 900,PLN,2014
Land Rover Range Rover Velar,https://www.otomoto.pl/oferta/land-rover-range-rover-velar-2-0-si4-250-km-hse-my19-awd-wifi-pakiet-black-adaptive-dynamics-ID6zQ0i8.html#e3a67ddec1,288 900,PLN,2018
Peugeot 207,https://www.otomoto.pl/oferta/peugeot-207-207sw-1-6hdi-110km-panorama-pdc-alusy-chromy-na-pl-1-ID6Aqjqn.html#e3a67ddec1,14 900,PLN,2009
Audi A3 8P,https://www.otomoto.pl/oferta/audi-a3-oryginal-serwis-pelna-dokumentacja-sportback-unikat-ID6BwmJg.html#e3a67ddec1,24 900,PLN,2007
Mercedes-Benz GLA,https://www.otomoto.pl/oferta/mercedes-benz-gla-wlasciciel-gla-200-off-road-nawigacja-faktura-vat23-ID6BwmIT.html#e3a67ddec1,124 500,PLN,2018
Opel Insignia A,https://www.otomoto.pl/oferta/opel-insignia-1-8-benzyna-140-koni-bezwypadek-serwis-aso-idealny-do-gazu-ID6Bup4h.html#e3a67ddec1,32 900,PLN,2010
Nissan Navara,https://www.otomoto.pl/oferta/nissan-navara-ID6BwmIq.html#e3a67ddec1,35 600,PLN,2008
Honda Civic VII,https://www.otomoto.pl/oferta/honda-civic-honda-civic-vii-ID6BwmIl.html#e3a67ddec1,8 000,PLN,2001
Mazda CX-9,https://www.otomoto.pl/oferta/mazda-cx-9-mazda-cx-9-salon-polska-gwarancja-okazja-ID6BuHnY.html#e3a67ddec1,93 000,PLN,2015
Volkswagen Caddy III,https://www.otomoto.pl/oferta/volkswagen-caddy-volkswagen-caddy-1-9-tdi-bez-dpf-od-wlasciciela-klima-ID6BwmIi.html#e3a67ddec1,15 600,PLN,2006
Honda CR-V IV,https://www.otomoto.pl/oferta/honda-cr-v-ID6BwmG1.html#e3a67ddec1,95 000,PLN,2015
BMW Seria 3 E90,https://www.otomoto.pl/oferta/bmw-seria-3-320d-lift-177km-navi-cic-dvd-skora-oryginalny-przebieg-oplaty-ID6BrPBr.html#e3a67ddec1,33 900,PLN,2009
Citroën C4 II,https://www.otomoto.pl/oferta/citroen-c4-ehdi-92km-lift-fullledy-navi-alu-ds-pdc-serwis-sliczny-vat-23-ID6A5Fjr.html#e3a67ddec1,36 900,PLN,2015
Ford Mondeo Mk5,https://www.otomoto.pl/oferta/ford-mondeo-mondeo-fusion-1-5-benz-ecoboost-180km-lift-nowy-model-sliczne-fvat-ID6Bb7zv.html#e3a67ddec1,68 000,PLN,2017
BMW Seria 3 E90,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-e90-lci-318i-2008r-ID6BuHpg.html#e3a67ddec1,29 999,PLN,2009
Mercedes-Benz Klasa A W169,https://www.otomoto.pl/oferta/mercedes-benz-klasa-a-salon-pl-serwisowany-w-aso-do-konca-ID6AV101.html#e3a67ddec1,13 900,PLN,2005
Volkswagen Passat B7,https://www.otomoto.pl/oferta/volkswagen-passat-ID6BuHnV.html#e3a67ddec1,54 000,PLN,2014
Citroën C4 II,https://www.otomoto.pl/oferta/citroen-c4-1-6ehdi-92km-black-white-navi-3d-pdc-chromy-sliczny-oplacony-ID6Bu6Pp.html#e3a67ddec1,26 900,PLN,2012
BMW Seria 5 G30,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-m550i-g30-xdrive-brown-nappa-adaptive-sport-driving-assist-plus-ID6A3X2E.html#e3a67ddec1,319 999,PLN,2017
Alfa Romeo 159,https://www.otomoto.pl/oferta/alfa-romeo-159-ID6BwmHH.html#e3a67ddec1,20 999,PLN,2007
BMW Seria 5 E60,https://www.otomoto.pl/oferta/bmw-seria-5-m-pakiet-535d-272km-panorama-navi-b-xenon-full-opcja-ID6BrVKW.html#e3a67ddec1,26 900,PLN,2005
Ford Fiesta Mk7,https://www.otomoto.pl/oferta/ford-fiesta-2-komplety-opon-climatronic-benzyna-zarejestrowany-ID6Bu6Om.html#e3a67ddec1,17 999,PLN,2009
Porsche Panamera,https://www.otomoto.pl/oferta/porsche-panamera-porsche-panamera-turbo-500km-po-remoncie-silnika-ID6BuHkZ.html#e3a67ddec1,147 000,PLN,2010
Renault Grand Scenic II,https://www.otomoto.pl/oferta/renault-grand-scenic-okazja-nowy-rozrzad-ID6BuHk8.html#e3a67ddec1,6 690,PLN,2005
Volvo V50,https://www.otomoto.pl/oferta/volvo-v50-lift-1-6-diesel-109-km-klimatyzacja-2-kluczyki-alufelgi-hak-ID6BuGVm.html#e3a67ddec1,14 900,PLN,2008
Peugeot 508,https://www.otomoto.pl/oferta/peugeot-508-165km-allure-s-s-f-23-salonpl-gw-12m-bonkowscy-ID6Bs4q4.html#e3a67ddec1,69 900,PLN,2015
Opel Astra H,https://www.otomoto.pl/oferta/opel-astra-1-6-115km-maly-przebieg-bez-inwestycji-ID6BuHkE.html#e3a67ddec1,17 999,PLN,2009
Seat Cordoba II,https://www.otomoto.pl/oferta/seat-cordoba-gaz-sekwencja-tani-wygodny-po-serwisie-ID6BuZdD.html#e3a67ddec1,8 800,PLN,2004
Renault Scenic II,https://www.otomoto.pl/oferta/renault-scenic-2005-1-6-benzyna-klima-elektryka-zadbany-serwis-do-konca-ID6B7vCd.html#e3a67ddec1,9 800,PLN,2005
car_title,car_link,car_price,currency,years
Audi RS5,https://www.otomoto.pl/oferta/audi-rs5-matrix-hamulce-ceramiczne-bang-olufsen-ID6BuHkm.html#9516438a8d,479 900,PLN,2018
Toyota Corolla Seria,https://www.otomoto.pl/oferta/toyota-corolla-salon-polska-1-6vvti-comfort-z-gwar-fabryczna-do-vii-2020-ID6Be8AQ.html#9516438a8d,60 900,PLN,2017
BMW Seria 3 E46,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-e46-330d-salon-polska-oryginalny-przebieg-ID6BwmH0.html#9516438a8d,18 300,PLN,2003
Ford Mondeo Mk4,https://www.otomoto.pl/oferta/ford-mondeo-titanium-145-km-oplacony-ID6BuHiE.html#9516438a8d,24 900,PLN,2009
Mercedes-Benz Klasa E W213,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-220d-avantgarde-kam360-asystentmartwegopunktu-multibeamled-navisd-ID6Al2DO.html#9516438a8d,159 900,PLN,2017
Audi A4 B9,https://www.otomoto.pl/oferta/audi-a4-limousine-sport-2-0-tdi-150-km-s-tronic-ID6AcLd9.html#9516438a8d,179 720,PLN,2018
BMW Seria 5 G30,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-530d-g31-2017r-xdrive-driving-assistant-fvat23-ID6BjV7a.html#9516438a8d,249 999,PLN,2017
Volkswagen Tiguan I,https://www.otomoto.pl/oferta/volkswagen-tiguan-dealer-karlik-poznan-pakiet-r-line-2-0tdi-4-motion-salon-pl-fv23-ID6Bu6NM.html#9516438a8d,82 900,PLN,2014
Mazda 5 I,https://www.otomoto.pl/oferta/mazda-5-2-0-16v-145-km-lift-xenon-skora-automat-alu-elektryka-niemcy-ID6BahPi.html#9516438a8d,24 999,PLN,2008
Volkswagen Passat B8,https://www.otomoto.pl/oferta/volkswagen-passat-r-line-150ps-virtual-kamera-radar-full-led-3-strefy-2016-rok-ID6BtdM6.html#9516438a8d,75 500,PLN,2016
Audi RS6,https://www.otomoto.pl/oferta/audi-rs6-audi-rs6-quattro-605koni-model-2018-fvat23-ID6BjXvZ.html#9516438a8d,449 999,PLN,2017
Fiat Linea,https://www.otomoto.pl/oferta/fiat-linea-dealer-karlik-poznan-malta-salon-pl-pierwszy-wlasciciel-serwis-aso-ID6Bu6NB.html#9516438a8d,13 900,PLN,2009
Volkswagen Tiguan I,https://www.otomoto.pl/oferta/volkswagen-tiguan-vw-tiguan-2-0-tdi-4motion-140-km-ID6BuHcW.html#9516438a8d,41 900,PLN,2010
Audi Q8,https://www.otomoto.pl/oferta/audi-q8-wyprzedaz-rocznika-w-aso-pneumat-os-tyln-skr-jasne-wnetrze-ID6BwmGC.html#9516438a8d,477 954,PLN,2018
Volkswagen Tiguan I,https://www.otomoto.pl/oferta/volkswagen-tiguan-2-0tdi-110km-lift-navi-3d-6-biegow-chrom-serwis-oplacony-ID6Bu6MX.html#9516438a8d,47 900,PLN,2014
Citroën C5 III,https://www.otomoto.pl/oferta/citroen-c5-automatyczna-klimatyzacja-kolorowa-nawigacja-historia-serwisowa-aso-ID6BuHeM.html#9516438a8d,27 500,PLN,2009
Ford Fusion,https://www.otomoto.pl/oferta/ford-fusion-ford-fusion-2-5-benzyna-175km-ID6BuHcq.html#9516438a8d,79 900,PLN,2017
Toyota Corolla Seria,https://www.otomoto.pl/oferta/toyota-corolla-ID6BwmEi.html#9516438a8d,4 850,PLN,1999
Lexus IS II,https://www.otomoto.pl/oferta/lexus-is-lexus-is-220-irlandia-anglik-ID6zrRQZ.html#9516438a8d,9 100,PLN,2006
BMW Seria 5 F10,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-535i-gt-f07-xdrive-ID6Ay60i.html#9516438a8d,69 500,PLN,2011
Ford S-Max I,https://www.otomoto.pl/oferta/ford-s-max-2-0tdci-140km-titanium-skora-convers-duza-navi-alu18-pdc-arkos-ID6Bs3MX.html#9516438a8d,27 900,PLN,2009
Audi Q5 8R,https://www.otomoto.pl/oferta/audi-q5-3tdi-245km-quattro-panorama-naglosnienie-bang-olufsen-swiatla-led-ID6ANOCw.html#9516438a8d,129 500,PLN,2014
